AGE 16-64,,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,Enfield,"126,800","182,700",69.4,3.9,"121,900","182,900",66.7,4.1,"131,400","184,800",71.1,3.8,"124,100","188,800",65.7,4.0,"127,600","192,600",66.2,3.7,"119,000","195,300",60.9,3.6,"124,700","197,300",63.2,3.6,"131,600","203,200",64.8,3.8,"131,100","204,300",64.2,4.1,"137,500","206,000",66.8,3.9,"143,600","208,100",69.0,4.0,"153,600","210,500",73.0,3.8,"150,400","213,400",70.5,4.1,"152,000","221,300",68.7,4.2,"150,400","216,200",69.6,4.3,"144,400","219,000",65.9,4.9
E09000011,Greenwich,"101,700","151,000",67.4,3.6,"104,100","154,300",67.5,3.7,"106,600","157,600",67.7,3.8,"107,600","158,700",67.8,3.7,"106,500","160,900",66.2,4.1,"103,700","163,400",63.5,4.0,"112,000","167,900",66.7,3.7,"115,700","171,000",67.7,3.6,"121,100","174,500",69.4,3.8,"114,100","177,100",64.4,4.3,"119,900","178,900",67.0,4.3,"134,100","185,100",72.5,4.0,"135,100","184,700",73.1,4.2,"139,000","189,600",73.3,3.9,"138,400","194,800",71.1,4.2,"150,600","195,900",76.8,3.8
E09000012,Hackney,"81,900","146,000",56.1,3.9,"79,400","148,800",53.3,4.0,"89,000","152,600",58.3,3.8,"98,300","158,300",62.1,3.7,"107,700","163,500",65.9,3.6,"115,400","169,200",68.2,3.5,"118,300","174,000",68.0,3.7,"119,900","178,900",67.0,3.7,"115,700","182,500",63.4,3.8,"116,100","185,600",62.6,3.9,"129,900","190,200",68.3,3.6,"133,700","193,800",69.0,3.7,"136,900","198,600",68.9,3.8,"148,000","202,600",73.1,3.9,"141,800","202,600",70.0,4.1,"149,700","206,600",72.4,4.1
E09000013,Hammersmith and Fulham,"84,600","126,000",67.2,4.3,"89,200","127,000",70.2,3.4,"89,600","129,300",69.3,3.6,"91,400","130,200",70.2,3.9,"89,900","129,800",69.3,3.9,"89,000","132,900",67.0,4.0,"88,400","134,200",65.8,3.9,"90,300","135,300",66.7,3.5,"90,600","131,600",68.9,3.7,"92,700","130,700",70.9,3.6,"97,900","128,500",76.2,3.4,"98,400","127,600",77.1,3.6,"100,200","131,300",76.3,3.9,"100,500","131,700",76.4,4.1,"97,700","127,100",76.9,4.1,"95,900","126,500",75.8,4.5
E09000014,Haringey,"90,900","157,700",57.6,3.6,"106,000","159,500",66.5,3.5,"109,700","163,600",67.0,3.7,"107,300","165,800",64.7,3.9,"107,500","171,900",62.5,4.0,"104,600","175,000",59.8,4.0,"109,600","176,900",62.0,4.0,"119,300","181,600",65.7,4.1,"121,000","182,300",66.4,4.1,"127,100","185,700",68.4,3.7,"128,300","188,100",68.2,3.8,"136,900","191,400",71.5,3.7,"143,700","196,400",73.2,3.6,"134,800","198,400",68.0,3.6,"144,900","196,900",73.6,3.7,"150,400","195,500",76.9,4.0
E09000015,Harrow,"100,900","143,700",70.2,4.1,"103,400","145,800",70.9,4.0,"105,700","147,600",71.6,4.0,"109,200","148,800",73.4,3.8,"102,200","149,000",68.6,3.7,"108,400","151,900",71.4,3.9,"112,600","155,700",72.3,3.9,"115,100","156,800",73.4,3.6,"111,900","157,000",71.3,3.6,"106,600","157,100",67.9,3.6,"114,500","157,500",72.7,3.6,"116,400","157,400",74.0,3.6,"116,000","161,100",72.0,4.0,"127,300","161,000",79.0,3.7,"120,200","154,100",78.0,3.6,"107,800","157,100",68.6,5.1
E09000016,Havering,"107,000","141,400",75.6,3.8,"105,200","143,700",73.2,3.9,"107,300","144,900",74.0,3.8,"111,000","144,900",76.6,3.4,"113,000","147,100",76.8,3.4,"106,700","149,700",71.2,3.8,"103,200","150,700",68.5,4.0,"112,000","151,500",73.9,4.0,"104,800","151,700",69.1,4.2,"107,200","151,700",70.7,4.2,"117,500","155,300",75.7,3.7,"118,400","155,000",76.4,3.8,"124,900","157,400",79.4,3.8,"120,100","157,000",76.5,3.8,"126,400","160,300",78.9,3.6,"121,200","161,200",75.2,3.9
E09000017,Hillingdon,"121,500","162,600",74.7,3.5,"113,600","164,000",69.3,3.8,"117,400","166,500",70.6,3.8,"110,000","168,800",65.2,4.1,"122,900","171,000",71.9,3.5,"125,100","173,200",72.3,4.0,"117,500","175,300",67.0,4.1,"127,500","183,300",69.5,3.7,"129,800","185,900",69.8,4.0,"133,400","188,900",70.6,3.8,"138,000","191,900",71.9,3.6,"144,100","196,400",73.4,3.7,"150,400","198,200",75.9,3.9,"149,800","201,500",74.4,3.8,"150,000","199,400",75.2,3.8,"145,200","200,500",72.4,4.7
E09000018,Hounslow,"104,200","150,300",69.3,3.5,"111,200","152,900",72.8,3.6,"113,100","157,600",71.8,3.5,"113,200","162,400",69.7,3.8,"116,100","164,000",70.8,3.9,"118,300","168,000",70.4,3.9,"122,900","171,800",71.5,3.7,"126,700","175,100",72.4,3.4,"127,600","176,400",72.3,3.7,"132,100","178,400",74.1,3.6,"133,700","180,900",73.9,3.8,"134,200","180,700",74.3,3.8,"136,900","186,100",73.6,4.4,"140,000","186,800",74.9,4.4,"139,400","181,800",76.7,5.0,"130,900","182,300",71.8,5.4
E09000019,Islington,"82,100","130,800",62.7,3.7,"84,100","132,600",63.4,3.8,"89,300","134,400",66.4,3.7,"94,000","137,500",68.4,3.6,"96,900","140,700",68.9,3.5,"94,900","145,500",65.3,3.8,"97,500","146,800",66.5,3.7,"104,700","154,000",68.0,3.7,"104,400","158,300",66.0,4.1,"109,600","160,000",68.5,3.9,"112,800","163,700",68.9,4.0,"123,000","168,800",72.9,3.8,"121,100","173,000",70.0,4.1,"136,000","176,500",77.0,3.8,"133,900","175,800",76.2,4.2,"135,300","175,500",77.1,4.1
